,m(a),m(b),m(c),"m(a,b)","m(a,c)","m(b,c)","m(a,b,c)",,,
Alcolhol,0.1304,0.116,0.2752,0.116,0.1304,0.116,0.116,,,
Malic acid,0.3082,0.1681,0.0889,0.1681,0.0889,0.0889,0.0889,,,
Alcolhol,0.1413,0.1994,0.1295,0.1413,0.1295,0.1295,0.1295,,,
Alcalinity of ash,0.3966,0.3017,0,0.3017,0,0,0,,,
Magnesium,0.2252,0.2372,0.2252,0.2252,0.0781,0.0781,0.0781,,,
Total phenols,0.2599,0.2642,0.054,0.2599,0.054,0.054,0.054,,,
Flavanoids,0.2885,0.423,0,0.2885,0,0,0,,,
Nonflavanoid phenols,0.184,0.1776,0.1152,0.1776,0.1152,0.1152,0.1152,,,
Proanthocyanins,0.1301,0.203,0.1383,0.1301,0.1301,0.1383,0.1301,,,
Color intensity,0.2123,0.2849,0.0726,0.2123,0.0726,0.0726,0.0726,,,
Hue,0,0.2921,0.4158,0,0,0.2921,0,,,
OD280/OD315 of diluted wines,0.3314,0.3372,0,0.3314,0,0,0,,,
Proline ,0,0.3106,0.3788,0,0,0.3106,0,,,
,,,,,,,,,,
